datestamp,arbitrum_daily_user_count,optimism_daily_user_count,ethereum_daily_user_count
2023-08-26 00:00:00.000 UTC,134685,89119,348928
2023-08-25 00:00:00.000 UTC,122130,88877,298992
2023-08-24 00:00:00.000 UTC,134678,110709,319332
2023-08-23 00:00:00.000 UTC,146783,106809,312283
2023-08-22 00:00:00.000 UTC,138981,93802,302767
2023-08-21 00:00:00.000 UTC,135715,98798,300113
2023-08-20 00:00:00.000 UTC,141175,85140,304445
2023-08-19 00:00:00.000 UTC,182537,92756,377842
2023-08-18 00:00:00.000 UTC,171623,101589,349735
2023-08-17 00:00:00.000 UTC,126810,121248,320433
2023-08-16 00:00:00.000 UTC,134974,125682,314601
2023-08-15 00:00:00.000 UTC,142974,146952,333511
2023-08-14 00:00:00.000 UTC,142146,102380,319791
2023-08-13 00:00:00.000 UTC,132817,98635,288818
2023-08-12 00:00:00.000 UTC,134465,104571,301491
2023-08-11 00:00:00.000 UTC,145897,105965,338179
2023-08-10 00:00:00.000 UTC,147456,114735,318212
2023-08-09 00:00:00.000 UTC,156000,116778,362318
2023-08-08 00:00:00.000 UTC,149824,129627,313598
2023-08-07 00:00:00.000 UTC,148825,119346,301151
2023-08-06 00:00:00.000 UTC,137859,104859,290021
2023-08-05 00:00:00.000 UTC,142900,127487,304083
2023-08-04 00:00:00.000 UTC,155330,134087,356902
2023-08-03 00:00:00.000 UTC,165778,118221,332741
2023-08-02 00:00:00.000 UTC,159024,96274,313841
2023-08-01 00:00:00.000 UTC,138005,97431,309031
2023-07-31 00:00:00.000 UTC,169128,120731,365520
2023-07-30 00:00:00.000 UTC,139827,103983,316034
2023-07-29 00:00:00.000 UTC,142128,108550,300056
2023-07-28 00:00:00.000 UTC,136255,114079,306337
2023-07-27 00:00:00.000 UTC,152955,109162,292404
2023-07-26 00:00:00.000 UTC,154465,113854,303944
2023-07-25 00:00:00.000 UTC,145799,102554,279847
2023-07-24 00:00:00.000 UTC,148931,89100,300940
2023-07-23 00:00:00.000 UTC,149762,90771,293656
2023-07-22 00:00:00.000 UTC,157606,110618,301105
2023-07-21 00:00:00.000 UTC,168408,120268,329263
2023-07-20 00:00:00.000 UTC,172062,161730,302076
2023-07-19 00:00:00.000 UTC,166295,132903,342678
2023-07-18 00:00:00.000 UTC,149108,124653,373019
2023-07-17 00:00:00.000 UTC,159890,91342,290739
2023-07-16 00:00:00.000 UTC,146905,87781,276799
2023-07-15 00:00:00.000 UTC,166450,105093,309427
2023-07-14 00:00:00.000 UTC,170924,116291,372821
2023-07-13 00:00:00.000 UTC,165748,107546,334234
2023-07-12 00:00:00.000 UTC,163226,97027,315937
2023-07-11 00:00:00.000 UTC,159947,93845,357844
2023-07-10 00:00:00.000 UTC,154127,78751,350112
2023-07-09 00:00:00.000 UTC,147164,75845,284888
2023-07-08 00:00:00.000 UTC,160873,84640,293775
2023-07-07 00:00:00.000 UTC,164166,70911,286217
2023-07-06 00:00:00.000 UTC,159488,84176,258511
2023-07-05 00:00:00.000 UTC,137437,68610,228025
2023-07-04 00:00:00.000 UTC,167756,92317,293260
2023-07-03 00:00:00.000 UTC,171134,91184,328326
2023-07-02 00:00:00.000 UTC,156503,81480,285850
2023-07-01 00:00:00.000 UTC,157879,76733,325022
2023-06-30 00:00:00.000 UTC,203911,108088,375508
2023-06-29 00:00:00.000 UTC,203917,106265,306582
2023-06-28 00:00:00.000 UTC,176752,103944,352267
2023-06-27 00:00:00.000 UTC,196849,90686,333033
2023-06-26 00:00:00.000 UTC,167201,89243,327855
2023-06-25 00:00:00.000 UTC,159943,83993,296000
2023-06-24 00:00:00.000 UTC,144826,69517,314992
2023-06-23 00:00:00.000 UTC,148149,86980,371003
2023-06-22 00:00:00.000 UTC,161831,88587,342411
2023-06-21 00:00:00.000 UTC,172926,77081,370671
2023-06-20 00:00:00.000 UTC,171407,75251,329288
2023-06-19 00:00:00.000 UTC,165905,83953,372540
2023-06-18 00:00:00.000 UTC,141225,85972,361430
2023-06-17 00:00:00.000 UTC,164044,84463,365384
2023-06-16 00:00:00.000 UTC,168104,94310,409348
2023-06-15 00:00:00.000 UTC,182025,147792,412743
2023-06-14 00:00:00.000 UTC,176880,149081,366592
2023-06-13 00:00:00.000 UTC,171680,97042,324892
2023-06-12 00:00:00.000 UTC,200179,73166,338344
2023-06-11 00:00:00.000 UTC,168058,65679,474701
2023-06-10 00:00:00.000 UTC,167325,65096,432081
2023-06-09 00:00:00.000 UTC,154867,87405,337893
2023-06-08 00:00:00.000 UTC,148030,82213,321680
2023-06-07 00:00:00.000 UTC,146732,61986,365953
2023-06-06 00:00:00.000 UTC,192813,53952,361565
2023-06-05 00:00:00.000 UTC,181248,64512,406108
2023-06-04 00:00:00.000 UTC,193691,67296,325499
2023-06-03 00:00:00.000 UTC,184358,67161,350117
2023-06-02 00:00:00.000 UTC,193245,64789,397013
2023-06-01 00:00:00.000 UTC,165261,60069,322546
2023-05-31 00:00:00.000 UTC,218610,71461,366717
2023-05-30 00:00:00.000 UTC,311633,67560,382384
2023-05-29 00:00:00.000 UTC,181417,61001,334292
2023-05-28 00:00:00.000 UTC,172903,59335,298696
2023-05-27 00:00:00.000 UTC,181398,70961,339008
2023-05-26 00:00:00.000 UTC,214720,81618,342178
2023-05-25 00:00:00.000 UTC,238674,87873,336106
2023-05-24 00:00:00.000 UTC,203092,81440,326575
2023-05-23 00:00:00.000 UTC,211947,64430,332330
2023-05-22 00:00:00.000 UTC,176913,54807,324398
2023-05-21 00:00:00.000 UTC,163166,77620,354137
2023-05-20 00:00:00.000 UTC,159900,52994,395706
2023-05-19 00:00:00.000 UTC,169231,49376,334686
2023-05-18 00:00:00.000 UTC,166221,148870,310527
2023-05-17 00:00:00.000 UTC,190140,105592,323727
2023-05-16 00:00:00.000 UTC,218923,95934,323883
2023-05-15 00:00:00.000 UTC,196547,83835,344355
2023-05-14 00:00:00.000 UTC,191456,75553,342273
2023-05-13 00:00:00.000 UTC,208735,75038,337490
2023-05-12 00:00:00.000 UTC,226478,90702,329653
2023-05-11 00:00:00.000 UTC,303992,55353,296613
2023-05-10 00:00:00.000 UTC,250128,37264,304990
2023-05-09 00:00:00.000 UTC,307631,42164,325600
2023-05-08 00:00:00.000 UTC,207813,29552,320679
2023-05-07 00:00:00.000 UTC,222188,30682,282939
2023-05-06 00:00:00.000 UTC,256178,29184,294362
2023-05-05 00:00:00.000 UTC,215885,34641,344748
2023-05-04 00:00:00.000 UTC,206747,48590,315241
2023-05-03 00:00:00.000 UTC,220205,83597,331456
2023-05-02 00:00:00.000 UTC,217069,36067,304360
