date,block_number,token_address,token_name,token_decimals,balance,timestamp,price,balance_usd,token_amount,balance_eth,escrow_address,escrow_address_rdbl
2021-02-11,11838439,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,0.0,2021-02-11,0.997781002741894,0.0,0.0,0.0,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-02-12,11844963,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,0.0,2021-02-12,0.9961867385518766,0.0,0.0,0.0,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-02-13,11851386,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,0.0,2021-02-13,0.9980135144528262,0.0,0.0,0.0,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-02-14,11857945,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,0.0,2021-02-14,0.996347201642614,0.0,0.0,0.0,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-02-15,11864441,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,0.0,2021-02-15,1.0000608775422446,0.0,0.0,0.0,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-02-16,11870926,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,0.0,2021-02-16,1.0043395637850805,0.0,0.0,0.0,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-02-17,11877475,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,0.0,2021-02-17,0.99842208922524,0.0,0.0,0.0,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-02-18,11883922,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,0.0,2021-02-18,1.0001511512125334,0.0,0.0,0.0,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-02-19,11890499,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,0.0,2021-02-19,1.0071433668095024,0.0,0.0,0.0,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-02-20,11896994,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,1180.0,2021-02-20,0.9993521544674828,1179.2355422716298,1180000000.0,1.18e-09,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-02-21,11903479,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,1280.0,2021-02-21,1.0016580598289049,1282.1223165809986,1280000000.0,1.2800000000000001e-09,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-02-22,11909975,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,1380.0,2021-02-22,1.0020966664627466,1382.8933997185904,1380000000.0,1.3800000000000002e-09,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-02-23,11916477,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,2780.0,2021-02-23,1.0074685440627564,2800.762552494463,2780000000.0,2.7800000000000003e-09,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-02-24,11922946,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,5815.0,2021-02-24,1.0051058499794514,5844.69051763051,5815000000.0,5.815e-09,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-02-25,11929461,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,120009.63514,2021-02-25,0.9984998116376708,119829.5980819956,120009635140.0,1.2000963514000001e-07,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-02-26,11936003,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,123058.63514,2021-02-26,1.0006100974030474,123133.71289372149,123058635140.0,1.2305863514e-07,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-02-27,11942492,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,124353.178988,2021-02-27,1.0020009545266604,124602.00404440064,124353178988.0,1.2435317898800002e-07,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-02-28,11948959,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,125535.178988,2021-02-28,1.0001900128965062,125559.03229097294,125535178988.0,1.25535178988e-07,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-03-01,11955435,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,126445.174705,2021-03-01,1.007303640960688,127368.68486225678,126445174705.0,1.2644517470500002e-07,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-03-02,11961985,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,129061.842754,2021-03-02,0.9995720788298964,129006.61445923295,129061842754.0,1.29061842754e-07,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-03-03,11968393,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,291435.280267,2021-03-03,0.9999607947243092,291423.85446649115,291435280267.0,2.9143528026700003e-07,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-03-04,11974908,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,292298.658794,2021-03-04,1.007382613867266,294456.5869257959,292298658794.0,2.92298658794e-07,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-03-05,11981433,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,323549.069412,2021-03-05,1.0018342484834029,324142.5388018754,323549069412.0,3.2354906941199997e-07,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-03-06,11987996,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,324840.11007,2021-03-06,1.0037802813269656,326068.0970723471,324840110070.0,3.2484011007000004e-07,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-03-07,11994473,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,326249.335678,2021-03-07,0.9994578737200508,326072.467339313,326249335678.0,3.2624933567800003e-07,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-03-08,12000973,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,526837.654938,2021-03-08,1.0008979286167887,527310.7175447707,526837654938.0,5.26837654938e-07,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-03-09,12007406,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,528552.307226,2021-03-09,1.0069763275591472,532239.6612533516,528552307226.0,5.28552307226e-07,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-03-10,12013938,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,1496147.252053,2021-03-10,1.0016266853455829,1498581.0128627487,1496147252053.0,1.4961472520530002e-06,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-03-11,12020353,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,1499170.161525,2021-03-11,1.0019125340390445,1502037.3754892363,1499170161525.0,1.4991701615250004e-06,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-03-12,12026823,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,1499984.656402,2021-03-12,1.0028151494953341,1504207.3374504787,1499984656402.0,1.4999846564020002e-06,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-03-13,12033335,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,2200575.384323,2021-03-13,1.0026413366734352,2206387.844788271,2200575384323.0,2.200575384323e-06,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-03-14,12039857,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,2201136.887722,2021-03-14,1.0019627218290161,2205457.107140184,2201136887722.0,2.201136887722e-06,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-03-15,12046294,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,2201936.887722,2021-03-15,1.0006857680452614,2203446.9056772827,2201936887722.0,2.201936887722e-06,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-03-16,12052814,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,2206452.976064,2021-03-16,1.0004363958808105,2207415.863053956,2206452976064.0,2.2064529760639998e-06,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-03-17,12059298,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,2215355.310527,2021-03-17,1.0025328130950093,2220966.391467601,2215355310527.0,2.215355310527e-06,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-03-18,12065799,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,2240775.108762,2021-03-18,0.9995674338803172,2239805.825368121,2240775108762.0,2.2407751087620003e-06,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-03-19,12072305,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,2255135.968868,2021-03-19,1.0011729782400791,2257781.1942879017,2255135968868.0,2.2551359688680002e-06,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-03-20,12078832,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,2770894.637455,2021-03-20,1.0036083255875805,2780892.9274758184,2770894637455.0,2.7708946374549998e-06,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-03-21,12085253,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,2789386.725517,2021-03-21,1.002714558089958,2796958.6778187733,2789386725517.0,2.7893867255169996e-06,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-03-22,12091743,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,2807263.226576,2021-03-22,1.0025704385066478,2814479.1240718868,2807263226576.0,2.8072632265759998e-06,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-03-23,12098248,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,2851125.29787,2021-03-23,0.9982410657274396,2846110.3558682124,2851125297870.0,2.85112529787e-06,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-03-24,12104732,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,2867007.631211,2021-03-24,0.9994507635302567,2865432.966060906,2867007631211.0,2.8670076312110002e-06,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-03-25,12111246,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,2912251.288148,2021-03-25,1.0001242330125728,2912613.085898896,2912251288148.0,2.9122512881480008e-06,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-03-26,12117785,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,2996206.718643,2021-03-26,0.9989566837063324,2993080.727354244,2996206718643.0,2.9962067186430007e-06,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-03-27,12124270,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,4043330.196974,2021-03-27,1.00126358944898,4048439.306349638,4043330196974.0,4.0433301969739995e-06,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-03-28,12130763,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,4061426.782188,2021-03-28,1.0016201016591786,4068006.706456455,4061426782188.0,4.0614267821879995e-06,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-03-29,12137274,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,4064785.276365,2021-03-29,1.0006258899850795,4067329.3847609763,4064785276365.0,4.064785276365e-06,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-03-30,12143792,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,4096192.495334,2021-03-30,0.9999855949951121,4096133.4896610817,4096192495334.0,4.096192495334002e-06,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-03-31,12150244,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,4203087.000391,2021-03-31,0.9999097991438616,4202707.87834514,4203087000391.0,4.2030870003910005e-06,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-04-01,12156760,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,4269099.395478,2021-04-01,1.0015218878061984,4275596.485791427,4269099395478.0,4.269099395478e-06,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-04-02,12163214,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,4311145.155697,2021-04-02,1.0001494898889536,4311789.628307588,4311145155697.0,4.311145155697e-06,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-04-03,12169741,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,4540056.4145559985,2021-04-03,1.0020567679216392,4549394.256951891,4540056414555.998,4.540056414555998e-06,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-04-04,12176302,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,4566359.946438,2021-04-04,1.0012275211243302,4571965.249733548,4566359946438.0,4.566359946438e-06,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-04-05,12182812,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,4620445.013398998,2021-04-05,0.9982493419157704,4612356.193983554,4620445013398.998,4.620445013398999e-06,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-04-06,12189295,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,5364258.260694,2021-04-06,0.9999286025369246,5363875.266262907,5364258260694.0,5.364258260694001e-06,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-04-07,12195832,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,8489270.796652,2021-04-07,1.0016098803064346,8502937.506523522,8489270796652.0,8.489270796652e-06,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-04-08,12202287,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,7744608.02422,2021-04-08,1.001412714254747,7755548.942373244,7744608024220.0,7.744608024220001e-06,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-04-09,12208744,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,9164501.934733,2021-04-09,0.9984473105415808,9150272.309187276,9164501934733.0,9.164501934733e-06,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-04-10,12215326,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,12758768.086397,2021-04-10,1.0004205974845513,12764134.39216011,12758768086397.0,1.2758768086397e-05,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-04-11,12221872,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,12386828.310795,2021-04-11,1.0036439264838135,12431965.002527155,12386828310795.0,1.2386828310794999e-05,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-04-12,12228388,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,12680531.903228,2021-04-12,1.0024575444228756,12711694.873685876,12680531903228.0,1.2680531903228e-05,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-04-13,12234862,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,14647684.359003,2021-04-13,1.0003279390387323,14652487.906531345,14647684359003.0,1.4647684359003e-05,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-04-14,12241311,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,14064113.463362,2021-04-14,1.0018378460119504,14089961.138202256,14064113463362.0,1.4064113463362005e-05,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-04-15,12247811,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,14716961.76793,2021-04-15,0.9990365764679566,14702783.100642595,14716961767930.0,1.4716961767929999e-05,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-04-16,12254244,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,15200843.956063,2021-04-16,0.9994695014077912,15192779.929743925,15200843956063.0,1.5200843956063e-05,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-04-17,12260711,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,15046130.727289002,2021-04-17,0.9979920703533244,15015919.15533392,15046130727289.002,1.5046130727289004e-05,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-04-18,12267212,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,16553944.021871,2021-04-18,1.0011154849080317,16572409.696595795,16553944021871.0,1.6553944021871002e-05,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-04-19,12273612,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,16517723.019469,2021-04-19,0.9992245654637476,16504914.606579453,16517723019469.0,1.6517723019469e-05,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-04-20,12280192,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,16875163.345027998,2021-04-20,1.0025643523044798,16918437.209040295,16875163345027.998,1.6875163345027998e-05,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
