datestamp,arbitrum_daily_tx_count,optimism_daily_tx_count,ethereum_daily_tx_count
2023-08-22 00:00:00.000 UTC,577245,408553,1.040834e+06
2023-08-21 00:00:00.000 UTC,558032,405843,1.010718e+06
2023-08-20 00:00:00.000 UTC,532219,359694,943440
2023-08-19 00:00:00.000 UTC,636720,382182,1.041484e+06
2023-08-18 00:00:00.000 UTC,704246,432369,1.081417e+06
2023-08-17 00:00:00.000 UTC,893965,560729,1.065879e+06
2023-08-16 00:00:00.000 UTC,593393,611361,1.076026e+06
2023-08-15 00:00:00.000 UTC,586629,894382,1.056395e+06
2023-08-14 00:00:00.000 UTC,579853,650647,1.009971e+06
2023-08-13 00:00:00.000 UTC,543356,395256,920802
2023-08-12 00:00:00.000 UTC,485469,388784,972839
2023-08-11 00:00:00.000 UTC,584215,448508,1.050203e+06
2023-08-10 00:00:00.000 UTC,616973,528529,1.037733e+06
2023-08-09 00:00:00.000 UTC,625504,567676,1.076595e+06
2023-08-08 00:00:00.000 UTC,653216,824452,1.098689e+06
2023-08-07 00:00:00.000 UTC,637575,783178,1.047336e+06
2023-08-06 00:00:00.000 UTC,562723,475230,987506
2023-08-05 00:00:00.000 UTC,576729,560317,1.124372e+06
2023-08-04 00:00:00.000 UTC,653126,646415,1.075359e+06
2023-08-03 00:00:00.000 UTC,673700,661080,1.049539e+06
2023-08-02 00:00:00.000 UTC,630808,547903,1.042149e+06
2023-08-01 00:00:00.000 UTC,644840,676567,1.068108e+06
2023-07-31 00:00:00.000 UTC,671640,680013,1.048101e+06
2023-07-30 00:00:00.000 UTC,599527,614041,981157
2023-07-29 00:00:00.000 UTC,562608,632680,991161
2023-07-28 00:00:00.000 UTC,582409,661653,1.014601e+06
2023-07-27 00:00:00.000 UTC,656622,901234,998420
2023-07-26 00:00:00.000 UTC,664821,808942,1.029348e+06
2023-07-25 00:00:00.000 UTC,630534,844290,990249
2023-07-24 00:00:00.000 UTC,679216,650909,1.0363e+06
2023-07-23 00:00:00.000 UTC,651930,490381,977305
2023-07-22 00:00:00.000 UTC,637431,525717,1.004374e+06
2023-07-21 00:00:00.000 UTC,682503,485473,1.110882e+06
2023-07-20 00:00:00.000 UTC,744157,586143,1.04951e+06
2023-07-19 00:00:00.000 UTC,735743,535179,1.093783e+06
2023-07-18 00:00:00.000 UTC,714336,510831,1.175963e+06
2023-07-17 00:00:00.000 UTC,801197,526886,1.036419e+06
2023-07-16 00:00:00.000 UTC,695557,449981,946750
2023-07-15 00:00:00.000 UTC,750576,524618,950700
2023-07-14 00:00:00.000 UTC,894957,569973,1.110332e+06
2023-07-13 00:00:00.000 UTC,839769,495499,1.121269e+06
2023-07-12 00:00:00.000 UTC,744549,443384,1.041317e+06
2023-07-11 00:00:00.000 UTC,738209,440966,1.091428e+06
2023-07-10 00:00:00.000 UTC,747982,431025,1.057858e+06
2023-07-09 00:00:00.000 UTC,686969,442755,954379
2023-07-08 00:00:00.000 UTC,717627,444018,1.014086e+06
2023-07-07 00:00:00.000 UTC,741044,354307,1.038341e+06
2023-07-06 00:00:00.000 UTC,746957,381431,914280
2023-07-05 00:00:00.000 UTC,670378,315303,760586
2023-07-04 00:00:00.000 UTC,758354,424794,931944
2023-07-03 00:00:00.000 UTC,835410,475409,1.061564e+06
2023-07-02 00:00:00.000 UTC,752474,446758,925771
2023-07-01 00:00:00.000 UTC,704361,521155,1.015838e+06
2023-06-30 00:00:00.000 UTC,1.002858e+06,518758,1.129184e+06
2023-06-29 00:00:00.000 UTC,909675,549840,1.064346e+06
2023-06-28 00:00:00.000 UTC,854190,591223,1.094481e+06
2023-06-27 00:00:00.000 UTC,884778,614482,1.06737e+06
2023-06-26 00:00:00.000 UTC,871731,552678,996984
2023-06-25 00:00:00.000 UTC,756637,510267,934895
2023-06-24 00:00:00.000 UTC,678320,450463,1.004563e+06
2023-06-23 00:00:00.000 UTC,768656,532001,1.054976e+06
2023-06-22 00:00:00.000 UTC,801463,524242,1.052333e+06
2023-06-21 00:00:00.000 UTC,943985,529806,1.091714e+06
2023-06-20 00:00:00.000 UTC,832009,432068,1.072045e+06
2023-06-19 00:00:00.000 UTC,750065,382987,1.04635e+06
2023-06-18 00:00:00.000 UTC,655810,360927,1.001818e+06
2023-06-17 00:00:00.000 UTC,713664,377933,984217
2023-06-16 00:00:00.000 UTC,792381,415492,1.146585e+06
2023-06-15 00:00:00.000 UTC,843617,501512,1.110065e+06
2023-06-14 00:00:00.000 UTC,845528,535436,1.023424e+06
2023-06-13 00:00:00.000 UTC,863118,456786,952433
2023-06-12 00:00:00.000 UTC,996439,419348,975959
2023-06-11 00:00:00.000 UTC,805508,387214,1.106073e+06
2023-06-10 00:00:00.000 UTC,953942,428588,1.204433e+06
2023-06-09 00:00:00.000 UTC,767588,421777,1.046976e+06
2023-06-08 00:00:00.000 UTC,722310,394920,1.008582e+06
2023-06-07 00:00:00.000 UTC,793579,381914,1.071257e+06
2023-06-06 00:00:00.000 UTC,971837,257340,1.095144e+06
2023-06-05 00:00:00.000 UTC,881523,335028,1.151611e+06
2023-06-04 00:00:00.000 UTC,806014,328274,962454
2023-06-03 00:00:00.000 UTC,964408,332785,1.003794e+06
2023-06-02 00:00:00.000 UTC,822369,309221,1.102996e+06
2023-06-01 00:00:00.000 UTC,743448,276335,1.07118e+06
2023-05-31 00:00:00.000 UTC,907353,348828,1.098149e+06
2023-05-30 00:00:00.000 UTC,1.018242e+06,314170,1.190789e+06
2023-05-29 00:00:00.000 UTC,871219,290459,1.082245e+06
2023-05-28 00:00:00.000 UTC,824860,289859,968996
2023-05-27 00:00:00.000 UTC,844167,305537,982620
2023-05-26 00:00:00.000 UTC,990622,326966,1.05951e+06
2023-05-25 00:00:00.000 UTC,1.109311e+06,320127,1.062757e+06
2023-05-24 00:00:00.000 UTC,925837,325617,1.054823e+06
2023-05-23 00:00:00.000 UTC,842493,304045,1.113165e+06
2023-05-22 00:00:00.000 UTC,731300,259170,1.075234e+06
2023-05-21 00:00:00.000 UTC,677346,262741,1.014742e+06
2023-05-20 00:00:00.000 UTC,698323,218497,1.049772e+06
2023-05-19 00:00:00.000 UTC,698913,208889,1.073998e+06
2023-05-18 00:00:00.000 UTC,701791,393767,1.054402e+06
2023-05-17 00:00:00.000 UTC,750417,336888,1.043585e+06
2023-05-16 00:00:00.000 UTC,794850,325262,1.0726e+06
2023-05-15 00:00:00.000 UTC,777400,257254,1.091921e+06
2023-05-14 00:00:00.000 UTC,725038,246920,992354
2023-05-13 00:00:00.000 UTC,765451,244798,994500
2023-05-12 00:00:00.000 UTC,918126,282484,1.070884e+06
2023-05-11 00:00:00.000 UTC,1.112153e+06,208647,1.099638e+06
2023-05-10 00:00:00.000 UTC,1.017964e+06,179687,1.086375e+06
2023-05-09 00:00:00.000 UTC,1.114501e+06,163294,1.126707e+06
2023-05-08 00:00:00.000 UTC,873991,148483,1.14596e+06
2023-05-07 00:00:00.000 UTC,871141,127607,1.101487e+06
2023-05-06 00:00:00.000 UTC,1.143754e+06,131846,1.145565e+06
2023-05-05 00:00:00.000 UTC,971097,147946,1.208548e+06
2023-05-04 00:00:00.000 UTC,930693,208798,1.11021e+06
2023-05-03 00:00:00.000 UTC,1.039628e+06,282125,1.117146e+06
