date,block_number,token_address,token_name,token_decimals,token_balance
2022-08-25,15412117,ether,ethereum,18,0.0
2022-08-26,15418354,ether,ethereum,18,0.0
2022-08-27,15424590,ether,ethereum,18,0.0
2022-08-28,15430829,ether,ethereum,18,0.0
2022-08-29,15437156,ether,ethereum,18,0.0
2022-08-30,15443367,ether,ethereum,18,0.0
2022-08-31,15449617,ether,ethereum,18,728165.1728839644
2022-09-01,15455879,ether,ethereum,18,701715.7120474732
2022-09-02,15462172,ether,ethereum,18,702749.6569641682
2022-09-03,15468372,ether,ethereum,18,704467.698776523
2022-09-04,15474641,ether,ethereum,18,706082.4860329144
2022-09-05,15480812,ether,ethereum,18,706341.606855729
2022-09-06,15487071,ether,ethereum,18,707430.1080802005
2022-09-07,15493289,ether,ethereum,18,709548.2633364311
2022-09-08,15499581,ether,ethereum,18,710765.9981356306
2022-09-09,15505646,ether,ethereum,18,712198.1946506181
2022-09-10,15511690,ether,ethereum,18,712761.5191311338
2022-09-11,15517756,ether,ethereum,18,713401.7102005479
2022-09-12,15523803,ether,ethereum,18,711820.8602238826
2022-09-13,15529867,ether,ethereum,18,708818.421286447
2022-09-14,15535776,ether,ethereum,18,708461.7007174314
2022-09-15,15542503,ether,ethereum,18,707654.2273063981
2022-09-16,15549595,ether,ethereum,18,753140.7091942228
2022-09-17,15556725,ether,ethereum,18,755370.266626462
2022-09-18,15563855,ether,ethereum,18,758085.190938869
2022-09-19,15570980,ether,ethereum,18,766181.7274153199
2022-09-20,15578118,ether,ethereum,18,767346.3820616832
2022-09-21,15585172,ether,ethereum,18,768300.6383468305
2022-09-22,15592324,ether,ethereum,18,769125.5225122629
2022-09-23,15599491,ether,ethereum,18,785202.7434483693
2022-09-24,15606659,ether,ethereum,18,789456.7067294909
2022-09-25,15613827,ether,ethereum,18,791530.8021870202
2022-09-26,15620975,ether,ethereum,18,705203.4157417109
2022-09-27,15628116,ether,ethereum,18,705845.2052357269
2022-09-28,15635278,ether,ethereum,18,706640.2999308726
2022-09-29,15642432,ether,ethereum,18,702413.3615461732
2022-09-30,15649594,ether,ethereum,18,682199.8720469391
2022-10-01,15656731,ether,ethereum,18,677571.196267375
2022-10-02,15663906,ether,ethereum,18,678202.0728628665
2022-10-03,15671063,ether,ethereum,18,679677.5581574009
2022-10-04,15678195,ether,ethereum,18,680993.8013709609
2022-10-05,15685343,ether,ethereum,18,682790.7761091755
2022-10-06,15692500,ether,ethereum,18,683038.8564123454
2022-10-07,15699646,ether,ethereum,18,683540.7951490328
2022-10-08,15706815,ether,ethereum,18,684368.636920873
2022-10-09,15713977,ether,ethereum,18,686048.9383009523
2022-10-10,15721142,ether,ethereum,18,687015.0867471881
2022-10-11,15728306,ether,ethereum,18,688777.9366155178
2022-10-12,15735470,ether,ethereum,18,690386.4848200586
2022-10-13,15742627,ether,ethereum,18,691463.7714630766
2022-10-14,15749789,ether,ethereum,18,692398.4552484767
2022-10-15,15756956,ether,ethereum,18,692326.6521448821
2022-10-16,15764113,ether,ethereum,18,691929.4441919931
2022-10-17,15771267,ether,ethereum,18,691060.2210022219
2022-10-18,15778435,ether,ethereum,18,692586.0850774943
2022-10-19,15785589,ether,ethereum,18,693343.5092620746
2022-10-20,15792754,ether,ethereum,18,693728.0660566845
2022-10-21,15799919,ether,ethereum,18,694505.3261355989
2022-10-22,15807085,ether,ethereum,18,695481.7423230693
2022-10-23,15814248,ether,ethereum,18,696174.8874929794
2022-10-24,15821368,ether,ethereum,18,697134.7731470579
2022-10-25,15828520,ether,ethereum,18,699463.5239024665
2022-10-26,15835686,ether,ethereum,18,698203.7357305108
2022-10-27,15842848,ether,ethereum,18,700689.1474774791
2022-10-28,15850000,ether,ethereum,18,702580.9659385419
2022-10-29,15857150,ether,ethereum,18,704074.1961605416
2022-10-30,15864318,ether,ethereum,18,705902.000388948
2022-10-31,15871479,ether,ethereum,18,706689.150635151
2022-11-01,15878616,ether,ethereum,18,708156.5037512019
2022-11-02,15885772,ether,ethereum,18,710139.0650234955
2022-11-03,15892927,ether,ethereum,18,711010.6744712847
2022-11-04,15900095,ether,ethereum,18,713277.5979175116
2022-11-05,15907252,ether,ethereum,18,713958.834038998
2022-11-06,15914420,ether,ethereum,18,717211.8040828919
2022-11-07,15921588,ether,ethereum,18,718647.4261437224
2022-11-08,15928753,ether,ethereum,18,722767.8385562705
2022-11-09,15935899,ether,ethereum,18,730933.4612983648
2022-11-10,15943060,ether,ethereum,18,733755.5130937714
2022-11-11,15950211,ether,ethereum,18,735575.6847654625
2022-11-12,15957379,ether,ethereum,18,737149.5628305816
2022-11-13,15964551,ether,ethereum,18,739363.6416525032
2022-11-14,15971718,ether,ethereum,18,743164.322317454
2022-11-15,15978869,ether,ethereum,18,745461.2238263802
2022-11-16,15986019,ether,ethereum,18,748111.0701644905
2022-11-17,15993178,ether,ethereum,18,749778.9118590497
2022-11-18,16000337,ether,ethereum,18,751303.417696189
2022-11-19,16007502,ether,ethereum,18,754288.6962472545
2022-11-20,16014665,ether,ethereum,18,757824.0347690831
2022-11-21,16021828,ether,ethereum,18,761934.4474050653
2022-11-22,16028978,ether,ethereum,18,766942.8015949389
2022-11-23,16036115,ether,ethereum,18,772437.4416668108
2022-11-24,16043281,ether,ethereum,18,779208.9543676336
2022-11-25,16050437,ether,ethereum,18,786771.4881856029
2022-11-26,16057596,ether,ethereum,18,787714.7819524041
2022-11-27,16064755,ether,ethereum,18,788357.1626526195
2022-11-28,16071930,ether,ethereum,18,788363.1450305019
2022-11-29,16079082,ether,ethereum,18,790463.3144619197
2022-11-30,16086233,ether,ethereum,18,795219.0259366614
2022-12-01,16093396,ether,ethereum,18,797602.1338601549
2022-12-02,16100563,ether,ethereum,18,782886.7305267471
2022-12-03,16107726,ether,ethereum,18,782564.9570475522
2022-12-04,16114880,ether,ethereum,18,786933.4281564348
2022-12-05,16122024,ether,ethereum,18,787858.2163113499
2022-12-06,16129194,ether,ethereum,18,791014.213105747
2022-12-07,16136269,ether,ethereum,18,795809.794514484
2022-12-08,16143430,ether,ethereum,18,797302.1116675334
2022-12-09,16150582,ether,ethereum,18,800351.3361079956
2022-12-10,16157747,ether,ethereum,18,800049.9375462444
2022-12-11,16164907,ether,ethereum,18,797948.0595971348
2022-12-12,16172063,ether,ethereum,18,802892.4115058755
2022-12-13,16179214,ether,ethereum,18,806220.7266360455
2022-12-14,16186377,ether,ethereum,18,807587.9351915293
2022-12-15,16193533,ether,ethereum,18,808629.5630805306
2022-12-16,16200693,ether,ethereum,18,815753.3007642409
2022-12-17,16207856,ether,ethereum,18,817381.5465663442
2022-12-18,16215018,ether,ethereum,18,817617.717689285
2022-12-19,16222182,ether,ethereum,18,818006.5874073296
2022-12-20,16229350,ether,ethereum,18,818355.719785435
2022-12-21,16236513,ether,ethereum,18,819217.2364189227
2022-12-22,16243691,ether,ethereum,18,818759.1948629463
2022-12-23,16250871,ether,ethereum,18,819178.8833157844
2022-12-24,16258037,ether,ethereum,18,819262.4548662085
2022-12-25,16265205,ether,ethereum,18,819558.2528683537
2022-12-26,16272367,ether,ethereum,18,820352.2672432073
2022-12-27,16279523,ether,ethereum,18,820121.7096694644
2022-12-28,16286696,ether,ethereum,18,820088.4859997799
2022-12-29,16293857,ether,ethereum,18,820626.4591479258
2022-12-30,16301023,ether,ethereum,18,820783.4756312822
2022-12-31,16308189,ether,ethereum,18,821600.9834724545
2023-01-01,16315361,ether,ethereum,18,821546.4582363061
2023-01-02,16322532,ether,ethereum,18,821872.8564073273
2023-01-03,16329700,ether,ethereum,18,822783.5991515421
2023-01-04,16336870,ether,ethereum,18,823342.9299323576
2023-01-05,16344023,ether,ethereum,18,823973.4622745682
2023-01-06,16351183,ether,ethereum,18,824793.6503180987
