date,block_number,token_address,token_name,token_decimals,token_balance
2021-05-28,12525911,ether,ethereum,18,0.0
2021-05-29,12532378,ether,ethereum,18,2.7302
2021-05-30,12538795,ether,ethereum,18,2.7302
2021-05-31,12545218,ether,ethereum,18,4.73021
2021-06-01,12551696,ether,ethereum,18,5.1512123
2021-06-02,12558202,ether,ethereum,18,14.3612123
2021-06-03,12564606,ether,ethereum,18,14.3612123
2021-06-04,12571125,ether,ethereum,18,14.3612123
2021-06-05,12577559,ether,ethereum,18,14.8182123
2021-06-06,12584091,ether,ethereum,18,14.8182123
2021-06-07,12590522,ether,ethereum,18,16.1583124
2021-06-08,12596997,ether,ethereum,18,19.4783124
2021-06-09,12603434,ether,ethereum,18,19.4783124
2021-06-10,12609896,ether,ethereum,18,19.478312400011
2021-06-11,12616350,ether,ethereum,18,19.488312400011
2021-06-12,12622784,ether,ethereum,18,19.488312400011
2021-06-13,12629257,ether,ethereum,18,20.788312400011
2021-06-14,12635688,ether,ethereum,18,24.988312400011
2021-06-15,12642193,ether,ethereum,18,25.770099233765546
2021-06-16,12648592,ether,ethereum,18,26.77766485697971
2021-06-17,12655064,ether,ethereum,18,27.530836883906943
2021-06-18,12661469,ether,ethereum,18,27.537112076155836
2021-06-19,12667895,ether,ethereum,18,27.537112076155836
2021-06-20,12674364,ether,ethereum,18,27.557112076155835
2021-06-21,12680680,ether,ethereum,18,32.15803799232365
2021-06-22,12687117,ether,ethereum,18,32.15950815754716
2021-06-23,12693546,ether,ethereum,18,35.354809206690035
2021-06-24,12699964,ether,ethereum,18,35.354809206690035
2021-06-25,12706306,ether,ethereum,18,35.35881007452376
2021-06-26,12712733,ether,ethereum,18,40.36076524336242
2021-06-27,12719181,ether,ethereum,18,40.36092112986914
2021-06-28,12725647,ether,ethereum,18,40.3809388851844
2021-06-29,12732053,ether,ethereum,18,40.38295721411763
2021-06-30,12738508,ether,ethereum,18,40.39295721411763
2021-07-01,12744858,ether,ethereum,18,40.592957214117625
2021-07-02,12751295,ether,ethereum,18,40.60303361663424
2021-07-03,12757712,ether,ethereum,18,43.70403361663424
2021-07-04,12764170,ether,ethereum,18,43.70403361663424
2021-07-05,12770589,ether,ethereum,18,54.90405137381554
2021-07-06,12777014,ether,ethereum,18,55.004789807017445
2021-07-07,12783404,ether,ethereum,18,56.70484053976448
2021-07-08,12789854,ether,ethereum,18,57.705095592463415
2021-07-09,12796260,ether,ethereum,18,63.00514396706613
2021-07-10,12802707,ether,ethereum,18,63.00514396706613
2021-07-11,12809130,ether,ethereum,18,63.00514396706613
2021-07-12,12815507,ether,ethereum,18,68.60557710216916
2021-07-13,12821814,ether,ethereum,18,111.18557710216916
2021-07-14,12828204,ether,ethereum,18,111.93572148701618
2021-07-15,12834631,ether,ethereum,18,111.93572148701618
2021-07-16,12840970,ether,ethereum,18,111.93593074756046
2021-07-17,12847327,ether,ethereum,18,111.93593074756046
2021-07-18,12853698,ether,ethereum,18,111.93593074756046
2021-07-19,12860133,ether,ethereum,18,112.32593074756046
2021-07-20,12866472,ether,ethereum,18,112.72593074756045
2021-07-21,12872886,ether,ethereum,18,113.32593074756046
2021-07-22,12879308,ether,ethereum,18,115.32593074756046
2021-07-23,12885654,ether,ethereum,18,116.32593074756046
2021-07-24,12892111,ether,ethereum,18,121.72603272782987
2021-07-25,12898512,ether,ethereum,18,121.72603272782987
2021-07-26,12904850,ether,ethereum,18,122.22613471130138
2021-07-27,12911127,ether,ethereum,18,122.22613471130138
2021-07-28,12917418,ether,ethereum,18,122.48104261312811
2021-07-29,12923774,ether,ethereum,18,125.98104261312811
2021-07-30,12930041,ether,ethereum,18,129.98107489335843
2021-07-31,12936339,ether,ethereum,18,129.99107489335842
2021-08-01,12942653,ether,ethereum,18,129.99107489335842
2021-08-02,12949049,ether,ethereum,18,130.86601321925346
2021-08-03,12955395,ether,ethereum,18,130.86601321925346
2021-08-04,12961717,ether,ethereum,18,133.81478220338394
2021-08-05,12968066,ether,ethereum,18,133.81478220338394
2021-08-06,12974517,ether,ethereum,18,133.81478220338394
2021-08-07,12981066,ether,ethereum,18,133.81478220338394
2021-08-08,12987562,ether,ethereum,18,133.81478220338394
2021-08-09,12994067,ether,ethereum,18,133.81478220338394
2021-08-10,13000574,ether,ethereum,18,133.81478220338394
2021-08-11,13006975,ether,ethereum,18,133.81478220338394
2021-08-12,13013485,ether,ethereum,18,133.81685493426116
2021-08-13,13019959,ether,ethereum,18,132.8070914423672
2021-08-14,13026459,ether,ethereum,18,133.80733855255
2021-08-15,13032879,ether,ethereum,18,133.80733855255
2021-08-16,13039379,ether,ethereum,18,135.29740893849183
2021-08-17,13045895,ether,ethereum,18,137.11740893849182
2021-08-18,13052294,ether,ethereum,18,137.80773357910732
2021-08-19,13058859,ether,ethereum,18,138.10821813201764
2021-08-20,13065318,ether,ethereum,18,138.2084577454776
2021-08-21,13071749,ether,ethereum,18,139.2084577454776
2021-08-22,13078270,ether,ethereum,18,139.2084578322358
2021-08-23,13084679,ether,ethereum,18,140.61395505866713
2021-08-24,13091188,ether,ethereum,18,141.61425067923312
2021-08-25,13097627,ether,ethereum,18,144.7146176978568
2021-08-26,13104131,ether,ethereum,18,145.06873001150765
2021-08-27,13110562,ether,ethereum,18,145.14873001150767
2021-08-28,13117022,ether,ethereum,18,145.14873001150767
2021-08-29,13123511,ether,ethereum,18,148.2048746191671
2021-08-30,13129983,ether,ethereum,18,149.9004496527601
2021-08-31,13136426,ether,ethereum,18,540.1065315373262
2021-09-01,13142881,ether,ethereum,18,4272.2300943667815
2021-09-02,13149422,ether,ethereum,18,4996.552105027582
2021-09-03,13155888,ether,ethereum,18,6349.909062361262
2021-09-04,13162317,ether,ethereum,18,6957.54478709098
2021-09-05,13168846,ether,ethereum,18,7470.5246726982505
2021-09-06,13175305,ether,ethereum,18,9711.738321993873
2021-09-07,13181722,ether,ethereum,18,10272.57859136054
2021-09-08,13188217,ether,ethereum,18,10951.373912126559
2021-09-09,13194683,ether,ethereum,18,17896.90269843596
2021-09-10,13201142,ether,ethereum,18,53923.26616154816
2021-09-11,13207538,ether,ethereum,18,427566.463353746
2021-09-12,13214076,ether,ethereum,18,618280.1649569143
2021-09-13,13220488,ether,ethereum,18,628306.4596545077
2021-09-14,13226949,ether,ethereum,18,637060.9306950071
2021-09-15,13233403,ether,ethereum,18,644775.2422435723
2021-09-16,13239895,ether,ethereum,18,653147.5621942596
2021-09-17,13246362,ether,ethereum,18,659240.0892824673
2021-09-18,13252813,ether,ethereum,18,661983.484619795
2021-09-19,13259321,ether,ethereum,18,667469.5963602763
2021-09-20,13265753,ether,ethereum,18,615036.5913701076
2021-09-21,13272249,ether,ethereum,18,620087.6908741919
2021-09-22,13278686,ether,ethereum,18,619464.5150301476
2021-09-23,13285097,ether,ethereum,18,569626.6299372772
2021-09-24,13291552,ether,ethereum,18,347185.98388230836
2021-09-25,13298125,ether,ethereum,18,341730.54653889954
2021-09-26,13304527,ether,ethereum,18,335594.41992197605
2021-09-27,13310981,ether,ethereum,18,318426.87576890027
2021-09-28,13317339,ether,ethereum,18,308671.55627495144
2021-09-29,13323751,ether,ethereum,18,301106.57132219005
2021-09-30,13330089,ether,ethereum,18,297560.9634784752
2021-10-01,13336574,ether,ethereum,18,287007.7881915475
2021-10-02,13342962,ether,ethereum,18,286512.22749391187
2021-10-03,13349325,ether,ethereum,18,289339.6473796749
2021-10-04,13355691,ether,ethereum,18,283426.7530065937
2021-10-05,13362102,ether,ethereum,18,293823.81119998364
2021-10-06,13368529,ether,ethereum,18,293801.52436343924
2021-10-07,13374853,ether,ethereum,18,292414.4030059548
2021-10-08,13381270,ether,ethereum,18,291500.28496524633
2021-10-09,13387619,ether,ethereum,18,302402.3158995488
2021-10-10,13393994,ether,ethereum,18,299413.5517369919
