date,block_number,token_address,token_name,token_decimals,balance
2021-06-22,12687117,ether,ethereum,18,0.0
2021-06-23,12693546,ether,ethereum,18,1.7510389880008412
2021-06-24,12699964,ether,ethereum,18,1.7510389880008412
2021-06-25,12706306,ether,ethereum,18,1.7510389880008412
2021-06-26,12712733,ether,ethereum,18,2.3540399880008414
2021-06-27,12719181,ether,ethereum,18,2.3540399880008414
2021-06-28,12725647,ether,ethereum,18,2.384239988000841
2021-06-29,12732053,ether,ethereum,18,2.3843459880008413
2021-06-30,12738508,ether,ethereum,18,2.3843459880008413
2021-07-01,12744858,ether,ethereum,18,2.3843459880008413
2021-07-02,12751295,ether,ethereum,18,5.011845988000841
2021-07-03,12757712,ether,ethereum,18,11.29484598800084
2021-07-04,12764170,ether,ethereum,18,12.680348898000842
2021-07-05,12770589,ether,ethereum,18,14.49518889800084
2021-07-06,12777014,ether,ethereum,18,45.265188898000844
2021-07-07,12783404,ether,ethereum,18,60.47382307435084
2021-07-08,12789854,ether,ethereum,18,71.24082307435084
2021-07-09,12796260,ether,ethereum,18,196.65161695632207
2021-07-10,12802707,ether,ethereum,18,210.66373443747764
2021-07-11,12809130,ether,ethereum,18,215.211610208079
2021-07-12,12815507,ether,ethereum,18,221.29546137343877
2021-07-13,12821814,ether,ethereum,18,571.1203603779782
2021-07-14,12828204,ether,ethereum,18,2185.195234252892
2021-07-15,12834631,ether,ethereum,18,2345.5418582997418
2021-07-16,12840970,ether,ethereum,18,2501.0685196302916
2021-07-17,12847327,ether,ethereum,18,2598.405456914328
2021-07-18,12853698,ether,ethereum,18,2724.813114743829
2021-07-19,12860133,ether,ethereum,18,3495.3613391484764
2021-07-20,12866472,ether,ethereum,18,3787.912963582737
2021-07-21,12872886,ether,ethereum,18,3518.68392977992
2021-07-22,12879308,ether,ethereum,18,3540.921516879518
2021-07-23,12885654,ether,ethereum,18,3531.5642860065122
2021-07-24,12892111,ether,ethereum,18,3582.1536002077323
2021-07-25,12898512,ether,ethereum,18,3593.5612742315147
2021-07-26,12904850,ether,ethereum,18,3581.9968799105113
2021-07-27,12911127,ether,ethereum,18,3601.894039786655
2021-07-28,12917418,ether,ethereum,18,3661.432571416541
2021-07-29,12923774,ether,ethereum,18,3678.233658430134
2021-07-30,12930041,ether,ethereum,18,3716.315081346596
2021-07-31,12936339,ether,ethereum,18,3569.0113502433633
2021-08-01,12942653,ether,ethereum,18,3526.6549947359813
2021-08-02,12949049,ether,ethereum,18,3341.9271188430716
2021-08-03,12955395,ether,ethereum,18,3339.125063911303
2021-08-04,12961717,ether,ethereum,18,3391.7222430401857
2021-08-05,12968066,ether,ethereum,18,3404.618555271514
2021-08-06,12974517,ether,ethereum,18,3712.6599503329708
2021-08-07,12981066,ether,ethereum,18,3780.2740327990655
2021-08-08,12987562,ether,ethereum,18,3783.3962100721
2021-08-09,12994067,ether,ethereum,18,3803.456106013873
2021-08-10,13000574,ether,ethereum,18,3833.4114972525726
2021-08-11,13006975,ether,ethereum,18,3876.73600365435
2021-08-12,13013485,ether,ethereum,18,3967.090689557947
2021-08-13,13019959,ether,ethereum,18,3875.9162535428486
2021-08-14,13026459,ether,ethereum,18,3937.4656259459575
2021-08-15,13032879,ether,ethereum,18,3914.070154482556
2021-08-16,13039379,ether,ethereum,18,3881.116325352071
2021-08-17,13045895,ether,ethereum,18,3882.5143169551798
2021-08-18,13052294,ether,ethereum,18,4020.6403822951925
2021-08-19,13058859,ether,ethereum,18,4110.514613705898
2021-08-20,13065318,ether,ethereum,18,4139.150705001272
2021-08-21,13071749,ether,ethereum,18,4159.021387605965
2021-08-22,13078270,ether,ethereum,18,4529.70220919153
2021-08-23,13084679,ether,ethereum,18,4430.522306789735
2021-08-24,13091188,ether,ethereum,18,4508.927481959005
2021-08-25,13097627,ether,ethereum,18,4531.0046923541895
2021-08-26,13104131,ether,ethereum,18,4604.21235557586
2021-08-27,13110562,ether,ethereum,18,4695.359672352965
2021-08-28,13117022,ether,ethereum,18,4751.277847500764
2021-08-29,13123511,ether,ethereum,18,4798.309980920855
2021-08-30,13129983,ether,ethereum,18,4688.080275789192
2021-08-31,13136426,ether,ethereum,18,4690.297255629006
2021-09-01,13142881,ether,ethereum,18,4753.567476673268
2021-09-02,13149422,ether,ethereum,18,4864.773995853359
2021-09-03,13155888,ether,ethereum,18,4980.525031222539
2021-09-04,13162317,ether,ethereum,18,5057.4200581263385
2021-09-05,13168846,ether,ethereum,18,5033.2146861970805
2021-09-06,13175305,ether,ethereum,18,5081.727698983432
2021-09-07,13181722,ether,ethereum,18,5011.345613872349
2021-09-08,13188217,ether,ethereum,18,5033.326135271727
2021-09-09,13194683,ether,ethereum,18,5140.711002826964
2021-09-10,13201142,ether,ethereum,18,5311.165149774015
2021-09-11,13207538,ether,ethereum,18,6489.472677570491
2021-09-12,13214076,ether,ethereum,18,7749.908882087997
2021-09-13,13220488,ether,ethereum,18,8535.318343020675
2021-09-14,13226949,ether,ethereum,18,9432.927117883479
2021-09-15,13233403,ether,ethereum,18,10075.384220335818
2021-09-16,13239895,ether,ethereum,18,10508.088185744908
2021-09-17,13246362,ether,ethereum,18,10855.263587620706
2021-09-18,13252813,ether,ethereum,18,11309.069480447777
2021-09-19,13259321,ether,ethereum,18,11755.758111930698
2021-09-20,13265753,ether,ethereum,18,11937.617536759046
2021-09-21,13272249,ether,ethereum,18,12150.475585594359
2021-09-22,13278686,ether,ethereum,18,12351.00026872197
2021-09-23,13285097,ether,ethereum,18,12504.273361611262
2021-09-24,13291552,ether,ethereum,18,12537.274329483796
2021-09-25,13298125,ether,ethereum,18,12730.202552633607
2021-09-26,13304527,ether,ethereum,18,12694.253653283777
2021-09-27,13310981,ether,ethereum,18,12061.689144064796
2021-09-28,13317339,ether,ethereum,18,12274.534596128435
2021-09-29,13323751,ether,ethereum,18,12539.57127156998
2021-09-30,13330089,ether,ethereum,18,13057.605996717572
2021-10-01,13336574,ether,ethereum,18,14730.406912609336
2021-10-02,13342962,ether,ethereum,18,15809.393463980448
2021-10-03,13349325,ether,ethereum,18,16519.094255722845
2021-10-04,13355691,ether,ethereum,18,16976.32563973855
2021-10-05,13362102,ether,ethereum,18,17352.869054494317
2021-10-06,13368529,ether,ethereum,18,17658.720695425876
2021-10-07,13374853,ether,ethereum,18,17853.663492936255
2021-10-08,13381270,ether,ethereum,18,17916.561047544827
2021-10-09,13387619,ether,ethereum,18,17936.460936676485
2021-10-10,13393994,ether,ethereum,18,18476.810255007735
2021-10-11,13400376,ether,ethereum,18,18517.76046447353
2021-10-12,13406729,ether,ethereum,18,18577.648349621286
2021-10-13,13413049,ether,ethereum,18,18223.838880265837
2021-10-14,13419379,ether,ethereum,18,18334.207352417452
2021-10-15,13425697,ether,ethereum,18,18587.53286612675
2021-10-16,13432143,ether,ethereum,18,18623.150764829712
2021-10-17,13438528,ether,ethereum,18,18426.330070999087
2021-10-18,13444844,ether,ethereum,18,18231.393829051704
2021-10-19,13451284,ether,ethereum,18,18214.31247460508
2021-10-20,13457638,ether,ethereum,18,18178.01370197847
2021-10-21,13464125,ether,ethereum,18,17460.748234531275
2021-10-22,13470536,ether,ethereum,18,17716.179456880527
2021-10-23,13476884,ether,ethereum,18,17902.622217987806
2021-10-24,13483243,ether,ethereum,18,17991.595678156187
2021-10-25,13489661,ether,ethereum,18,17819.157707030998
2021-10-26,13496075,ether,ethereum,18,17855.378948870348
2021-10-27,13502420,ether,ethereum,18,18099.20311827587
2021-10-28,13508828,ether,ethereum,18,17942.429897484362
2021-10-29,13515196,ether,ethereum,18,18008.357640220536
2021-10-30,13521541,ether,ethereum,18,17677.693675606875
2021-10-31,13527858,ether,ethereum,18,17714.845573931732
2021-11-01,13534281,ether,ethereum,18,17779.707722415682
2021-11-02,13540589,ether,ethereum,18,17920.357539458386
2021-11-03,13546974,ether,ethereum,18,18178.007443572187
2021-11-04,13553256,ether,ethereum,18,18498.480642201463
2021-11-05,13559702,ether,ethereum,18,18549.06884183201
2021-11-06,13566041,ether,ethereum,18,18401.67173903353
2021-11-07,13572493,ether,ethereum,18,18506.345727338925
