Date,Block Number
2020-01-01,9198245
2020-01-02,9203924
2020-01-03,9210446
2020-01-04,9217016
2020-01-05,9223504
2020-01-06,9230090
2020-01-07,9236623
2020-01-08,9243118
2020-01-09,9249648
2020-01-10,9256199
2020-01-11,9262727
2020-01-12,9269242
2020-01-13,9275782
2020-01-14,9282307
2020-01-15,9288793
2020-01-16,9295326
2020-01-17,9301875
2020-01-18,9308391
2020-01-19,9314961
2020-01-20,9321479
2020-01-21,9328051
2020-01-22,9334523
2020-01-23,9341098
2020-01-24,9347612
2020-01-25,9354103
2020-01-26,9360598
2020-01-27,9367150
2020-01-28,9373661
2020-01-29,9380212
2020-01-30,9386664
2020-01-31,9393153
2020-02-01,9399641
2020-02-02,9406178
2020-02-03,9412702
2020-02-04,9419268
2020-02-05,9425724
2020-02-06,9432240
2020-02-07,9438749
2020-02-08,9445216
2020-02-09,9451707
2020-02-10,9458299
2020-02-11,9464833
2020-02-12,9471296
2020-02-13,9477777
2020-02-14,9484270
2020-02-15,9490742
2020-02-16,9497294
2020-02-17,9503741
2020-02-18,9510221
2020-02-19,9516778
2020-02-20,9523258
2020-02-21,9529733
2020-02-22,9536261
2020-02-23,9542793
2020-02-24,9549274
2020-02-25,9555730
2020-02-26,9562258
2020-02-27,9568771
2020-02-28,9575272
2020-02-29,9581791
2020-03-01,9588286
2020-03-02,9594819
2020-03-03,9601320
2020-03-04,9607856
2020-03-05,9614265
2020-03-06,9620833
2020-03-07,9627373
2020-03-08,9633925
2020-03-09,9640356
2020-03-10,9646854
2020-03-11,9653383
2020-03-12,9659831
2020-03-13,9666213
2020-03-14,9672703
2020-03-15,9679216
2020-03-16,9685704
2020-03-17,9692213
2020-03-18,9698744
2020-03-19,9705226
2020-03-20,9711662
2020-03-21,9718106
2020-03-22,9724406
2020-03-23,9730854
2020-03-24,9737202
2020-03-25,9743576
2020-03-26,9750054
2020-03-27,9756608
2020-03-28,9763096
2020-03-29,9769669
2020-03-30,9776129
2020-03-31,9782601
2020-04-01,9789154
2020-04-02,9795638
2020-04-03,9802165
2020-04-04,9808656
2020-04-05,9815163
2020-04-06,9821596
2020-04-07,9828150
2020-04-08,9834652
2020-04-09,9841131
2020-04-10,9847646
2020-04-11,9854058
2020-04-12,9860639
2020-04-13,9867149
2020-04-14,9873631
2020-04-15,9880122
2020-04-16,9886591
2020-04-17,9893036
2020-04-18,9899480
2020-04-19,9905967
2020-04-20,9912463
2020-04-21,9918900
2020-04-22,9925381
2020-04-23,9931835
2020-04-24,9938311
2020-04-25,9944729
2020-04-26,9951187
2020-04-27,9957640
2020-04-28,9964060
2020-04-29,9970586
2020-04-30,9976963
2020-05-01,9983438
2020-05-02,9989909
2020-05-03,9996330
2020-05-04,10002871
2020-05-05,10009377
2020-05-06,10015763
2020-05-07,10022218
2020-05-08,10028704
2020-05-09,10035102
2020-05-10,10041595
2020-05-11,10048030
2020-05-12,10054428
