coingecko_id,token_address,decimals
tether,0xdac17f958d2ee523a2206206994597c13d831ec7,6
binancecoin,0xb8c77482e45f1f44de1745f52c74426c631bdd52,18
usd-coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,6
staked-ether,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,18
matic-network,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,18
shiba-inu,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,18
binance-usd,0x4fabb145d64652a948d72533023f6e7a623c7c53,18
dai,0x6b175474e89094c44da98b954eedeac495271d0f,18
uniswap,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,18
wrapped-bitcoin,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,8
chainlink,0x514910771af9ca656af840dff83e8264ecf986ca,18
the-open-network,0x582d872a1b094fc48f5de31d3b73f2d9be47def1,9
okb,0x75231f58b43240c9718dd58b4967c5114342a86c,18
leo-token,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,18
lido-dao,0x5a98fcbea516cf06857215779fd812ca3bef1b32,18
arbitrum,0xb50721bcf8d664c30412cfbc6cf7a15145234ad1,18
true-usd,0x0000000000085d4780b73119b644ae5ecd22b376,18
crypto-com-chain,0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,8
quant-network,0x4a220e6096b25eadb88358cb44068a3248254675,18
apecoin,0x4d224452801aced8b2f0aebe155379bb5d594381,18
the-graph,0xc944e90c64b2c07662a292be6244bdf05cda44a7,18
the-sandbox,0x3845badade8e6dff049820680d1f14bd3903a5d0,18
aave,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,18
decentraland,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,18
immutable-x,0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,18
rocket-pool,0xd33526068d116ce69f19a9ee46f0bd304f21a51f,18
axie-infinity,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,18
frax,0x853d955acef822db058eb8505911ed77f175b99e,18
paxos-standard,0x8e870d67f660d95d5be530380d0ec0bd388289e1,18
havven,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,18
curve-dao-token,0xd533a949740bb3306d119cc777fa900ba034cd52,18
bitdao,0x1a4b46696b2bb4794eb3d4c26f1c55f9170fa4c5,18
gatechain-token,0xe66747a101bff2dba3697199dcce5b743b454759,18
frax-share,0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0,18
usdd,0x0c10bf8fcb7bf5412187a595ab97a3609160b5c6,18
chiliz,0x3506424f91fd33084466f402d5d97f05f8e3b4af,18
maker,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,18
whitebit,0x925206b8a707096ed26ae47c84747fe0bb734f59,8
pancakeswap-token,0x152649ea73beab28c5b49b26eb48f7ead6d4c898,18
injective-protocol,0xe28b3b32b6c345a34ff64674606124dd5aceca30,18
huobi-token,0x6f259637dcd74c767781e37bc6133cd6a68aa161,18
render-token,0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24,18
compound-ether,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,8
bittorrent,0xc669928185dbce49d2230cc9b0979be6dc797957,18
bitget-token,0x19de6b897ed14a376dda0fe53a5420d2ac828a28,18
baby-doge-coin,0xac57de9c1a09fec648e93eb98875b212db0d460b,9
